User_ID,Cust_name,Product_ID,Gender,Age Group,Age,Marital_Status,State,Zone,Occupation,Orders,Amount,Product1,Cust_Address
2002903,Sanskriti,G00125942,F,26-35,28,0,Maharashtra,Western,Healthcare,1,23952,NaN,NaN
2000732,Kartik,G00110942,F,26-35,35,1,Andhra Pradesh,Southern,Govt,3,23934,NaN,NaN
2001990,Bindu,G00118542,F,26-35,35,1,Uttar Pradesh,Central,Automobile,3,23924,NaN,NaN
2001425,Sudevi,G00237842,M,0-17,16,0,Karnataka,Southern,Construction,2,23912,NaN,NaN
2000588,Joni,G00057942,M,26-35,28,1,Gujarat,Western,Food Processing,2,23877,NaN,NaN
2000588,Joni,G00057942,M,26-35,28,1,Himachal Pradesh,Northern,Food Processing,1,23877,NaN,NaN
2001132,Balk,G00018042,F,18-25,25,1,Uttar Pradesh,Central,Lawyer,4,23841,NaN,NaN
2002092,Shivangi,G00273442,F,55+,61,0,Maharashtra,Western,IT Sector,1,,NaN,NaN
2003224,Kushal,G00205642,M,26-35,35,0,Uttar Pradesh,Central,Govt,2,23809,NaN,NaN
2003650,Ginny,G00031142,F,26-35,26,1,Andhra Pradesh,Southern,Media,4,23799.99,NaN,NaN
2003829,Harshita,G00200842,M,26-35,34,0,Delhi,Central,Banking,1,23770,NaN,NaN
2000214,Kargatis,G00119142,F,18-25,20,0,Andhra Pradesh,Southern,Retail,2,23752,NaN,NaN
2004035,Elijah,G00080342,F,18-25,20,1,Andhra Pradesh,Southern,IT Sector,2,23730,NaN,NaN
2001680,Vasudev,G00324942,M,26-35,26,1,Andhra Pradesh,Southern,Automobile,4,23718,NaN,NaN
2003858,Cano,G00293742,M,46-50,46,1,Madhya Pradesh,Central,Hospitality,3,,NaN,NaN
2000813,Lauren,G00289942,F,18-25,24,0,Andhra Pradesh,Southern,Govt,2,23664,NaN,NaN
2005447,Amy,G00275642,F,46-50,48,1,Andhra Pradesh,Southern,IT Sector,3,,NaN,NaN
2001193,Mick,G00004842,F,26-35,29,0,Andhra Pradesh,Southern,Aviation,1,23619,NaN,NaN
2001883,Praneet,G00029842,M,51-55,54,1,Uttar Pradesh,Central,Hospitality,1,23568,NaN,NaN
2001883,Praneet,G00029842,M,51-55,54,1,Uttar Pradesh,Central,Hospitality,1,23568,NaN,NaN
2000113,Ellis,G00180642,F,18-25,19,1,Andhra Pradesh,Southern,Govt,4,23546,NaN,NaN
2000416,Hrisheekesh,G00181842,F,46-50,46,1,Uttar Pradesh,Central,Banking,2,23525,NaN,NaN
2005256,Grant,G00101742,F,26-35,30,0,Andhra Pradesh,Southern,IT Sector,1,23518,NaN,NaN
2001505,Gilcrest,G00271842,F,51-55,53,0,Uttar Pradesh,Central,Automobile,2,23515,NaN,NaN
2000900,Skaria,G00317842,M,55+,83,0,Karnataka,Southern,Automobile,3,23513,NaN,NaN
2005908,Eric,G00282642,F,26-35,33,0,Andhra Pradesh,Southern,IT Sector,3,23462,NaN,NaN
2001101,Gibson,G00234742,F,36-45,40,0,Uttar Pradesh,Central,Banking,3,23456,NaN,NaN
2004736,Mahima,G00058042,F,18-25,25,1,Andhra Pradesh,Southern,Banking,4,23451,NaN,NaN
2004037,Etezadi,G00190542,M,51-55,54,1,Andhra Pradesh,Southern,Govt,2,23434,NaN,NaN
2002340,James,G00119642,F,36-45,39,1,Andhra Pradesh,Southern,Aviation,3,23389,NaN,NaN
2005664,Dean,G00111642,F,18-25,20,0,Andhra Pradesh,Southern,Aviation,2,23365,NaN,NaN
2002523,Aman,G00293342,F,26-35,32,1,Andhra Pradesh,Southern,Food Processing,3,23326,NaN,NaN
2002503,Mousam,G00220042,F,36-45,36,0,Andhra Pradesh,Southern,Automobile,2,23314,NaN,NaN
2002638,Damala,G00346242,F,26-35,35,1,Maharashtra,Western,Media,2,23306,NaN,NaN
2004505,Daniels,G00080042,F,51-55,55,1,Andhra Pradesh,Southern,Healthcare,4,23302,NaN,NaN
2004957,Inderpreet,G00111842,M,26-35,27,1,Jharkhand,Eastern,Govt,1,23285,NaN,NaN
2005649,Sweta,G00238542,M,18-25,20,1,Delhi,Central,Media,1,23281,NaN,NaN
2004508,Phonely,G00048742,F,26-35,32,0,Andhra Pradesh,Southern,Aviation,1,23270,NaN,NaN
2002520,Mike,G00310342,M,55+,72,1,Himachal Pradesh,Northern,Media,4,23267,NaN,NaN
2003111,Dean,G00249542,F,18-25,25,1,Andhra Pradesh,Southern,Banking,4,23252,NaN,NaN
